SUMMARY (mean ± std across folds)
Experiment,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
GAUGE,0.6419 ± 0.0543,0.8720 ± 0.0157,0.8186 ± 0.0799,0.6486 ± 0.0743,0.7170 ± 0.0263,0.8402 ± 0.0409,0.6959 ± 0.0758,0.2575 ± 0.0586
GAUGE + RADAR,0.6377 ± 0.0390,0.8676 ± 0.0134,0.8255 ± 0.0561,0.6432 ± 0.0385,0.7208 ± 0.0248,0.8422 ± 0.0344,0.6879 ± 0.0572,0.2401 ± 0.0269
GAUGE + RADAR + SATELLITE,0.6464 ± 0.0351,0.8652 ± 0.0081,0.8277 ± 0.0532,0.6252 ± 0.0206,0.7111 ± 0.0204,0.8380 ± 0.0323,0.6983 ± 0.0533,0.2408 ± 0.0227


PER-FOLD RESULTS

GAUGE
Fold,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
Fold 1,0.6409,0.8772,0.726,0.6318,0.6756,0.7807,0.7388,0.2591
Fold 2,0.5552,0.9005,0.9061,0.614,0.732,0.8998,0.5865,0.1977
Fold 3,0.6296,0.863,0.8832,0.5944,0.7106,0.8637,0.6544,0.2239
Fold 4,0.724,0.8603,0.7191,0.7952,0.7552,0.8139,0.8106,0.3677
Fold 5,0.66,0.8589,0.8585,0.6077,0.7117,0.8431,0.6891,0.2392

GAUGE + RADAR
Fold,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
Fold 1,0.6381,0.8764,0.7246,0.6576,0.6894,0.7896,0.7293,0.2635
Fold 2,0.5736,0.8899,0.8556,0.6823,0.7592,0.8927,0.6022,0.2117
Fold 3,0.6325,0.8571,0.8658,0.6075,0.714,0.8604,0.6523,0.2205
Fold 4,0.6955,0.8562,0.8052,0.6804,0.7376,0.8257,0.7657,0.2805
Fold 5,0.6489,0.8584,0.8765,0.5883,0.704,0.8426,0.69,0.2243

GAUGE + RADAR + SATELLITE
Fold,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
Fold 1,0.6718,0.8716,0.729,0.626,0.6736,0.784,0.7473,0.2703
Fold 2,0.5989,0.8734,0.861,0.634,0.7302,0.8775,0.6343,0.2159
Fold 3,0.6426,0.8545,0.8739,0.5956,0.7084,0.8555,0.6629,0.2295
Fold 4,0.6975,0.8562,0.8154,0.6572,0.7278,0.8219,0.7745,0.2659
Fold 5,0.621,0.8704,0.8594,0.613,0.7156,0.851,0.6726,0.2224

