SUMMARY (mean ± std across folds)
Experiment,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
GAUGE,0.6298 ± 0.0421,0.8773 ± 0.0134,0.8291 ± 0.0526,0.6640 ± 0.0309,0.7366 ± 0.0316,0.8434 ± 0.0430,0.6858 ± 0.0664,0.2457 ± 0.0282
GAUGE + RADAR,0.6336 ± 0.0424,0.8687 ± 0.0127,0.8245 ± 0.0609,0.6474 ± 0.0337,0.7234 ± 0.0265,0.8420 ± 0.0341,0.6882 ± 0.0585,0.2344 ± 0.0272
GAUGE + RADAR + SATELLITE,0.6454 ± 0.0560,0.8660 ± 0.0150,0.8289 ± 0.0559,0.6340 ± 0.0225,0.7172 ± 0.0237,0.8398 ± 0.0388,0.6984 ± 0.0704,0.2387 ± 0.0273


PER-FOLD RESULTS

GAUGE
Fold,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
Fold 1,0.6261,0.8816,0.7371,0.6227,0.6751,0.7747,0.746,0.2739
Fold 2,0.5929,0.8973,0.8864,0.6592,0.7561,0.9018,0.5965,0.2162
Fold 3,0.6083,0.8648,0.8653,0.6429,0.7377,0.8655,0.6435,0.2273
Fold 4,0.7113,0.8601,0.8085,0.7108,0.7565,0.821,0.7769,0.2853
Fold 5,0.6102,0.8827,0.8483,0.6844,0.7576,0.8542,0.6663,0.2259

GAUGE + RADAR
Fold,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
Fold 1,0.6526,0.8772,0.7194,0.6332,0.6736,0.7886,0.7376,0.2656
Fold 2,0.5672,0.886,0.8899,0.6195,0.7305,0.8895,0.6041,0.1995
Fold 3,0.6362,0.8537,0.8649,0.6229,0.7242,0.8581,0.6575,0.2199
Fold 4,0.6961,0.8544,0.7962,0.7115,0.7515,0.8226,0.7684,0.2674
Fold 5,0.6159,0.8721,0.8523,0.6498,0.7374,0.8512,0.6733,0.2197

GAUGE + RADAR + SATELLITE
Fold,Station Median RMSE,Station Median r,Precision,Recall,F1,Global r,Global RMSE,Timestep RMSE
Fold 1,0.7021,0.8692,0.7213,0.6419,0.6793,0.777,0.7899,0.2798
Fold 2,0.5487,0.8935,0.8765,0.6528,0.7483,0.8961,0.5917,0.1978
Fold 3,0.6413,0.8511,0.8549,0.6214,0.7197,0.8544,0.6649,0.232
Fold 4,0.7001,0.8554,0.8294,0.6573,0.7334,0.827,0.7595,0.2542
Fold 5,0.635,0.8606,0.8624,0.5964,0.7051,0.8447,0.6858,0.2296

